# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150921-20151021
# ----------------------------------------

Day Index,Sessions
9/21/15,85
9/22/15,100
9/23/15,112
9/24/15,117
9/25/15,133
9/26/15,82
9/27/15,110
9/28/15,87
9/29/15,83
9/30/15,101
10/1/15,81
10/2/15,98
10/3/15,91
10/4/15,94
10/5/15,79
10/6/15,75
10/7/15,92
10/8/15,89
10/9/15,86
10/10/15,112
10/11/15,104
10/12/15,91
10/13/15,90
10/14/15,84
10/15/15,87
10/16/15,100
10/17/15,75
10/18/15,105
10/19/15,101
10/20/15,96
10/21/15,82
,"2,922"

